AnnoScolastico;CodScuola;Gestione;Denominazione;Indirizzo;MunicipioScuola;NilScuola;Capienza;Numero_Classi;Alunni_Tot;Alunni_M;Alunni_F;Alunni_Resid;Alunni_NonResid;Alunni_NazNasc_Italia;Alunni_NazNasc_UE15;Alunni_NazNasc_UE_Nuovi;Alunni_NazNasc_Europa_Altri;Alunni_NazNasc_Africa;Alunni_NazNasc_AmericaNord;Alunni_NazNasc_AmericaCentroSud;Alunni_NazNasc_Asia;Alunni_NazNasc_Altro_NonDisp;Alunni_Cittad_Ita;Alunni_Cittad_Non_Ita;Alunni_Cittad_NonDisp
2009/2010;2180;Paritaria;SANT'ANGELA MERICI;V. VESPRI SICILIANI 55;6;Giambellino (49);;10;217;97;120;162;55;213;0;1;1;0;0;0;2;0;199;9;9
2009/2010;2195;Paritaria;MADRE BUCCHI;V. PALMI 25;7;Forze Armate (56);;5;142;74;68;99;43;142;0;0;0;0;0;0;0;0;140;2;0
2009/2010;2166;Paritaria;LA ZOLLA;V. CARCANO GIULIO 53;5;Tibaldi (43);;15;317;158;159;254;63;309;2;0;1;0;0;4;1;0;311;1;5
2009/2010;2167;Statale;STATALE;V. SAN PAOLINO 4;6;Barona (46);375;9;179;76;103;162;17;170;0;0;0;4;0;4;1;0;144;34;1
2009/2010;2168;Statale;MORO ALDO;V. PESCARENICO 6;5;Stadera (42);300;15;301;141;160;285;16;289;0;2;1;2;0;4;3;0;266;34;1
2009/2010;2169;Statale;CAPPONI GINO;V. PESTALOZZI G.E. 13;6;S. Cristoforo (45);400;16;316;174;142;282;34;279;0;7;5;8;0;10;7;0;211;102;3
2009/2010;2170;Statale;STATALE;V. DE NICOLA ENRICO 2;6;Barona (46);350;13;256;129;127;239;17;246;3;0;1;4;0;2;0;0;200;56;0
2009/2010;2171;Statale;CASATI GABRIO;V. SAN COLOMBANO 8;6;Ronchetto sul Naviglio (48);250;5;109;64;45;101;8;102;0;3;0;3;0;0;1;0;98;11;0
2009/2010;2172;Statale;TRE CASTELLI;V. BALSAMO CRIVELLI RICCARDO 3;6;Ronchetto sul Naviglio (48);250;10;225;120;105;207;18;211;1;2;2;6;0;3;0;0;189;36;0
2009/2010;2173;Statale;PERTINI SANDRO;V. SALERNO 3;6;Ronchetto sul Naviglio (48);425;17;397;185;212;369;28;375;0;5;2;10;0;5;0;0;318;79;0
2009/2010;2174;Statale;FERRARIS GALILEO;V. BARONA 70;6;Barona (46);125;5;96;46;50;85;11;83;0;3;0;5;0;1;4;0;73;22;1
2009/2010;2176;Statale;STATALE;V. MASSAUA 5;7;Bande Nere (52);500;20;450;234;216;430;20;420;4;2;4;2;2;4;12;0;375;75;0
